 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "Xp",  "Yp"
-8.326,41.8044,-0.189532,0.992572,833,65,-4.34788,-22.7698,-0.0013221,0.00613725,-0.0006112,0.006187,-0.00137185,-1.48958,0.00934715,-8.51554,42.797
-8.06445,41.8044,-0.190328,0.995129,839,65,-4.36614,-22.8284,-0.00126582,0.00605506,-0.000533039,0.00609367,-0.00130443,-1.49849,0.0089267,-8.25478,42.7995
-7.8029,41.8044,-0.190727,0.996762,845,65,-4.37529,-22.8659,-0.00126374,0.00594634,-0.000422409,0.00597101,-0.00128841,-1.51248,0.00828592,-7.99363,42.8011
-7.54135,41.8044,-0.190442,0.998062,851,65,-4.36877,-22.8957,-0.00124701,0.0057836,-0.000372731,0.0058033,-0.00126672,-1.51798,0.00849023,-7.7318,42.8024
-7.2798,41.8044,-0.19153,0.999793,857,65,-4.39374,-22.9354,-0.00124904,0.00557488,-0.000397487,0.00559796,-0.00127211,-1.51281,0.00920249,-7.47133,42.8042
-7.01825,41.8044,-0.192105,1.00178,863,65,-4.4069,-22.981,-0.00124513,0.00534205,-0.000466162,0.00537488,-0.00127795,-1.5005,0.00981472,-7.21036,42.8062
-6.7567,41.8044,-0.192587,1.00354,869,65,-4.41798,-23.0213,-0.00113967,0.00509656,-0.000489984,0.00513483,-0.00117794,-1.49286,0.00934098,-6.94929,42.8079
-6.49515,41.8044,-0.192642,1.00529,875,65,-4.41926,-23.0616,-0.000980024,0.00483647,-0.000449772,0.00487105,-0.0010146,-1.49408,0.00907838,-6.6878,42.8097
-6.2336,41.8044,-0.192158,1.00719,881,65,-4.40812,-23.1051,-0.000822826,0.00456149,-0.00035797,0.00458518,-0.000846521,-1.5047,0.00894777,-6.42576,42.8116
-5.97205,41.8044,-0.192722,1.00905,887,65,-4.42111,-23.1477,-0.000721606,0.00430593,-0.000212396,0.00431489,-0.000730564,-1.52865,0.0102837,-6.16478,42.8134
