 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-0.212519,1.70203,0.00346053,-0.0231988,-0.00130581,-0.00166032,0.000226522,-0.00119543,-0.00177069,0.45341,0.00810415,487,119,1.84003,12.3352,-0.209058,1.67883
-0.193712,1.70203,0.00345078,-0.0231425,-0.00180161,-0.0020582,0.000206439,-0.00168685,-0.00217296,0.507366,0.00792811,497,119,1.83483,12.3053,-0.190261,1.67889
-0.174905,1.70203,0.0034176,-0.0230719,-0.00230691,-0.00251323,0.000157175,-0.00222206,-0.00259807,0.494987,0.00774501,507,119,1.81721,12.2677,-0.171487,1.67896
-0.156098,1.70203,0.00336296,-0.0230065,-0.00272727,-0.00296342,0.000108252,-0.00268516,-0.00300553,0.371015,0.00763867,517,119,1.78814,12.233,-0.152735,1.67903
-0.137291,1.70203,0.00328399,-0.022967,-0.00295753,-0.00341474,8.65185e-05,-0.00294171,-0.00343057,0.180902,0.00766765,527,119,1.74617,12.2119,-0.134007,1.67906
-0.118484,1.70203,0.00319503,-0.0229364,-0.00298079,-0.00381666,0.000112548,-0.0029659,-0.00383155,0.131528,0.00759783,537,119,1.69887,12.1957,-0.115289,1.6791
-0.099677,1.70203,0.0030869,-0.0229362,-0.00280563,-0.0041601,0.000169468,-0.00278475,-0.00418098,0.1226,0.00758169,547,119,1.64133,12.1956,-0.0965901,1.6791
-0.08087,1.70203,0.00296648,-0.0229498,-0.00245657,-0.00437631,0.000212579,-0.00243332,-0.00439957,0.108975,0.00775642,557,119,1.57731,12.2028,-0.0779035,1.67908
-0.062063,1.70203,0.00289394,-0.0229551,-0.00195262,-0.00451012,0.000231257,-0.00193188,-0.00453086,0.0894562,0.00815402,567,119,1.53879,12.2056,-0.0591691,1.67908
-0.0432561,1.70203,0.00284286,-0.0228914,-0.00131548,-0.00457828,0.000229342,-0.00129943,-0.00459432,0.0698322,0.00845336,577,119,1.51159,12.1718,-0.0404132,1.67914
-0.0244491,1.70203,0.00280704,-0.0228168,-0.000620801,-0.00462968,0.00022663,-0.00060803,-0.00464246,0.0562928,0.00854008,587,119,1.49257,12.1321,-0.021642,1.67921
-0.00564209,1.70203,0.0028502,-0.0227452,4.70974e-05,-0.00475354,0.000209507,5.62235e-05,-0.00476266,0.0435313,0.00844886,597,119,1.51553,12.094,-0.00279189,1.67929
