"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Time_0","deplacement_(mm)","Charge_(KN)"
25,-3.33674,-0.789118,0.0207634,0.0674364,-0.000194912,0.000871115,0.000114017,0.000898547,-0.000222346,1.02153,-2.96421,0.0873111,0.0303357,0.066891,-0.000179821,0.00102947,0.000146584,0.00105367,-0.000204014,1.25466,94.1824,0.2316,1.4599
26,-3.33674,-0.789118,0.0227308,0.0705603,-0.000202616,0.000901994,0.000117526,0.000931387,-0.000232008,1.03044,-2.96421,0.0873111,0.0327133,0.0700036,-0.000189253,0.00105589,0.000155123,0.00108195,-0.000215306,1.26082,94.6824,0.247,1.5082
27,-3.33674,-0.789118,0.0244281,0.0738458,-0.000209237,0.000926707,0.000119994,0.000956031,-0.000238561,1.01265,-2.96421,0.0873111,0.0347455,0.0732777,-0.000197159,0.00108895,0.000158065,0.00111517,-0.000223372,1.25167,95.1823,0.2631,1.5536
28,-3.33674,-0.789118,0.0252901,0.0764919,-0.000216039,0.000954254,0.000122093,0.000985613,-0.000247393,1.02664,-2.96421,0.0873111,0.0359291,0.0758741,-0.000204583,0.00111395,0.000161151,0.00114075,-0.000231383,1.23172,95.6824,0.2812,1.601
29,-3.33674,-0.789118,0.026065,0.0809595,-0.000221147,0.000980483,0.000129199,0.00101123,-0.000251892,1.03462,-2.96421,0.0873111,0.0369924,0.0803963,-0.000207436,0.00114605,0.000166381,0.00117362,-0.00023501,1.2627,96.1824,0.2953,1.657
30,-3.33674,-0.789118,0.0282203,0.0848586,-0.000234185,0.00101335,0.000128449,0.00104296,-0.000263784,1.01921,-2.96421,0.0873111,0.0394227,0.0842989,-0.000220638,0.00117789,0.000167687,0.00120535,-0.000248103,1.24025,96.6823,0.3147,1.7063
31,-3.33674,-0.789118,0.028435,0.0892373,-0.000237056,0.00104363,0.000133585,0.00107404,-0.000267462,1.06501,-2.96421,0.0873111,0.0399361,0.0886581,-0.000225991,0.00121165,0.000171963,0.00123946,-0.000253798,1.27088,97.1824,0.3291,1.7469
32,-3.33674,-0.789118,0.0295676,0.092562,-0.000250218,0.00107143,0.000138038,0.00110268,-0.000281465,1.03361,-2.96421,0.0873111,0.0413161,0.0919516,-0.000236627,0.0012418,0.00017773,0.00127053,-0.000265363,1.25776,97.6824,0.3482,1.8048
33,-3.33674,-0.789118,0.0304993,0.0978401,-0.000254059,0.00111081,0.000138484,0.00114201,-0.000285249,1.04283,-2.96421,0.0873111,0.0424703,0.0972614,-0.000245685,0.00128118,0.000180017,0.00131019,-0.000274688,1.26637,98.1824,0.3639,1.8599
34,-3.33674,-0.789118,0.0310944,0.102766,-0.000266446,0.00113836,0.000143787,0.00116903,-0.000297122,1.05201,-2.96421,0.0873111,0.0433206,0.102146,-0.00025232,0.00130961,0.000186121,0.00133952,-0.000282238,1.25837,98.6824,0.3794,1.914
35,-3.33674,-0.789118,0.0320103,0.107511,-0.000269554,0.00116592,0.000146442,0.00119865,-0.00030228,1.04078,-2.96421,0.0873111,0.0444751,0.106871,-0.000256691,0.00134517,0.000190784,0.00137595,-0.000287469,1.26095,99.1824,0.3955,1.9672
36,-3.33674,-0.789118,0.0334304,0.112904,-0.000281162,0.00119818,0.000149224,0.00123009,-0.000313057,1.05642,-2.96421,0.0873111,0.0461752,0.112311,-0.000264865,0.00137641,0.000192155,0.00140692,-0.000295385,1.25434,99.6824,0.4139,2.0232
37,-3.33674,-0.789118,0.0345341,0.118473,-0.000290163,0.00122652,0.000151262,0.00125905,-0.000322701,1.03441,-2.96421,0.0873111,0.0475325,0.117852,-0.000276146,0.00140786,0.000193854,0.00143862,-0.000306913,1.24656,100.182,0.4303,2.0773
38,-3.33674,-0.789118,0.0355377,0.124509,-0.00030124,0.00125902,0.000155482,0.00129129,-0.000333508,1.06949,-2.96421,0.0873111,0.0487553,0.123884,-0.000286829,0.00143981,0.000198894,0.00147081,-0.000317825,1.29233,100.682,0.4486,2.1305
39,-3.33674,-0.789118,0.0367376,0.130782,-0.000309788,0.00129444,0.000156359,0.00132626,-0.00034161,1.02501,-2.96421,0.0873111,0.0502426,0.130117,-0.000295558,0.00147815,0.00020001,0.00150931,-0.000326711,1.22824,101.182,0.4635,2.1778
40,-3.33674,-0.789118,0.0385592,0.136448,-0.000322937,0.00132025,0.000159778,0.00135226,-0.000354948,1.06133,-2.96421,0.0873111,0.052283,0.135845,-0.000308774,0.00150142,0.00020746,0.00153369,-0.000341043,1.28492,101.682,0.4799,2.2222
